close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
422.54,426.5,421.78,425.32,16891414,422.54,426.5,421.78,425.32,16891414,0.0,1.0
425.43,426.85,419.88,421.28,19901782,425.43,426.85,419.88,421.28,19901782,0.0,1.0
420.18,420.45,410.52,412.42,26681842,420.18,420.45,410.52,412.42,26681842,0.0,1.0
411.46,414.9,408.08,408.37,17626011,411.46,414.9,408.08,408.37,17626011,0.0,1.0
408.46,410.415,405.5713,409.8,19672286,408.46,410.415,405.5713,409.8,19672286,0.0,1.0
410.37,415.5,407.5,409.01,24230442,410.37,415.5,407.5,409.01,24230442,0.0,1.0
406.35,416.16,406.3,415.36,53970981,406.35,416.16,406.3,415.36,53970981,0.0,1.0
432.53,438.5,432.1,437.435,29749149,432.53,438.5,432.1,437.435,29749149,0.0,1.0
431.95,433.17,425.8001,428.0,17644080,431.95,433.17,425.8001,428.0,17644080,0.0,1.0
426.59,431.94,426.3,431.655,14882444,426.59,431.94,426.3,431.655,14882444,0.0,1.0
428.15,432.52,426.565,426.76,16899064,428.15,432.52,426.565,426.76,16899064,0.0,1.0
424.73,425.9782,422.4,425.325,13581631,424.73,425.9782,422.4,425.325,13581631,0.0,1.0
424.6,431.08,422.53,430.855,19654379,424.6,431.08,422.53,430.855,19654379,0.0,1.0
427.51,430.5793,418.04,418.49,25482197,427.51,430.5793,418.04,418.49,25482197,0.0,1.0
418.78,418.96,413.7501,416.12,14206115,418.78,418.96,413.7501,416.12,14206115,0.0,1.0
418.16,419.65,416.2601,417.14,17145317,418.16,419.65,416.2601,417.14,17145317,0.0,1.0
416.72,422.5,415.59,422.36,14820004,416.72,422.5,415.59,422.36,14820004,0.0,1.0
416.12,416.36,410.48,415.17,15508932,416.12,416.36,410.48,415.17,15508932,0.0,1.0
418.74,422.48,415.26,422.18,18900201,418.74,422.48,415.26,422.18,18900201,0.0,1.0
419.14,424.04,417.52,417.77,16653086,419.14,424.04,417.52,417.77,16653086,0.0,1.0
416.32,417.13,413.25,416.135,14144944,416.32,417.13,413.25,416.135,14144944,0.0,1.0
415.84,417.35,413.15,415.225,13848376,415.84,417.35,413.15,415.225,13848376,0.0,1.0
417.46,420.38,414.3,415.86,14974257,417.46,420.38,414.3,415.86,14974257,0.0,1.0
414.71,415.66,408.17,410.9,19229261,414.71,415.66,408.17,410.9,19229261,0.0,1.0
409.54,417.11,409.0,416.0,20919761,409.54,417.11,409.0,416.0,20919761,0.0,1.0
416.06,419.75,414.97,418.24,19190913,416.06,419.75,414.97,418.24,19190913,0.0,1.0
416.54,419.55,414.29,417.63,13686421,416.54,419.55,414.29,417.63,13686421,0.0,1.0
417.13,422.82,416.71,422.58,16582257,417.13,422.82,416.71,422.58,16582257,0.0,1.0
420.69,428.48,418.81,428.45,19092945,420.69,428.48,418.81,428.45,19092945,0.0,1.0
430.3,430.42,425.37,428.21,16854606,430.3,430.42,425.37,428.21,16854606,0.0,1.0
428.02,431.85,427.47,431.52,14896131,428.02,431.85,427.47,431.52,14896131,0.0,1.0
431.31,435.3,429.13,435.085,14492044,431.31,435.3,429.13,435.085,14492044,0.0,1.0
432.11,433.119,428.57,429.83,13396364,432.11,433.119,428.57,429.83,13396364,0.0,1.0
429.17,433.35,426.1,433.0,17015754,429.17,433.35,426.1,433.0,17015754,0.0,1.0
433.51,436.46,430.3889,434.28,15128891,433.51,436.46,430.3889,434.28,15128891,0.0,1.0
435.27,439.24,434.22,437.22,55167106,435.27,439.24,434.22,437.22,55167106,0.0,1.0
438.69,441.5,436.9,441.225,21706559,438.69,441.5,436.9,441.225,21706559,0.0,1.0
430.81,436.03,430.41,435.0,18898042,430.81,436.03,430.41,435.0,18898042,0.0,1.0
435.15,441.85,432.27,440.23,18874231,435.15,441.85,432.27,440.23,18874231,0.0,1.0
431.34,433.53,428.22,430.6,13834697,431.34,433.53,428.22,430.6,13834697,0.0,1.0
430.59,431.83,425.46,425.825,15874555,430.59,431.83,425.46,425.825,15874555,0.0,1.0
427.0,427.3692,419.75,423.31,17418759,427.0,427.3692,419.75,423.31,17418759,0.0,1.0
423.04,423.99,409.58,415.5,19266923,423.04,423.99,409.58,415.5,19266923,0.0,1.0
414.2,416.33,407.7,408.2,19594287,414.2,416.33,407.7,408.2,19594287,0.0,1.0
405.72,408.65,402.15,407.24,15295134,405.72,408.65,402.15,407.24,15295134,0.0,1.0
401.7,410.65,400.8,409.06,19609526,401.7,410.65,400.8,409.06,19609526,0.0,1.0
408.39,413.1,406.13,407.62,14195516,408.39,413.1,406.13,407.62,14195516,0.0,1.0
408.9,411.24,404.37,405.91,14886710,408.9,411.24,404.37,405.91,14886710,0.0,1.0
409.44,419.88,407.03,417.91,20313603,409.44,419.88,407.03,417.91,20313603,0.0,1.0
417.14,417.49,412.13,415.6,24308324,417.14,417.49,412.13,415.6,24308324,0.0,1.0
413.12,422.05,410.6,414.94,17045241,413.12,422.05,410.6,414.94,17045241,0.0,1.0
410.6,415.0,407.31,414.88,14882660,410.6,415.0,407.31,414.88,14882660,0.0,1.0
413.84,414.36,410.25,412.86,13492911,413.84,414.36,410.25,412.86,13492911,0.0,1.0
413.49,417.2799,411.34,416.365,13152830,413.49,417.2799,411.34,416.365,13152830,0.0,1.0
416.79,419.26,412.09,416.98,18493784,416.79,419.26,412.09,416.98,18493784,0.0,1.0
415.55,426.7899,414.61,424.36,19361901,415.55,426.7899,414.61,424.36,19361901,0.0,1.0
424.14,426.4,421.72,424.075,16067298,424.14,426.4,421.72,424.075,16067298,0.0,1.0
424.8,425.86,421.64,421.7,16387581,424.8,425.86,421.64,421.7,16387581,0.0,1.0
421.53,421.75,416.46,418.96,15233957,421.53,421.75,416.46,418.96,15233957,0.0,1.0
418.47,421.34,417.3,420.6,22775593,418.47,421.34,417.3,420.6,22775593,0.0,1.0
421.03,421.11,417.66,419.8,20752144,421.03,421.11,417.66,419.8,20752144,0.75,1.0
416.86,417.72,412.4456,414.8,18266980,416.1187486367,416.9772194035,411.7121982266,414.0624116838,18266980,0.0,1.0
414.01,414.95,409.57,409.59,19414271,413.2738164446,414.2121449571,408.8417115558,408.8616759922,19414271,0.0,1.0
406.81,408.76,404.2434,407.06,16762883,406.0866193276,408.0331518801,403.5245831998,406.3361747831,16762883,0.0,1.0
406.02,408.05,402.2624,404.03,19276666,405.2980240884,407.3244143866,401.5471057708,403.311562663,19276666,0.0,1.0
402.69,405.86,399.9407,402.44,20203030,401.9739454218,405.1383085969,399.2295341671,401.7243899663,20203030,0.0,1.0
398.43,410.08,397.47,408.635,20650906,397.7215204609,409.3508046849,396.763227512,407.9083741524,20650906,0.0,1.0
399.61,405.67,398.5,400.0,24946525,398.8994222106,404.9486464508,397.7913959884,399.2887287211,24946525,0.0,1.0
395.15,401.04,385.58,389.17,40709238,394.4473528854,400.3268794158,384.8943700507,388.477986391,40709238,0.0,1.0
408.49,415.0,404.34,412.49,29437900,407.7636319882,414.2620560482,403.6210114278,411.7565192755,29437900,0.0,1.0
417.11,427.46,413.0901,420.785,30296400,416.3683040922,426.6998999478,412.3555521907,420.0367692873,30296400,0.0,1.0
418.35,421.775,412.21,420.495,42891366,417.6060991512,421.0250088909,411.4770171653,419.747284959,42891366,0.0,1.0
422.92,429.05,417.36,427.72,32687578,422.1679728769,428.2870726445,416.6178595476,426.9594376215,32687578,0.0,1.0
426.73,432.15,424.7042,431.58,15125836,425.9711980179,431.3815602921,423.9490002513,430.8125738537,15125836,0.0,1.0
425.27,428.915,417.27,418.2,23583839,424.5137941581,428.1523126986,416.5280195837,417.4563658779,23583839,0.0,1.0
418.4,429.8,417.51,428.8,29943795,417.6560102423,429.0357390109,416.7675928209,428.0375171891,29943795,0.0,1.0
428.9,441.48,427.585,440.45,26805800,428.1373393712,440.6949698895,426.8246776756,439.6668014131,26805800,0.0,1.0
444.85,448.39,443.1,443.895,13107050,444.058977429,447.5926826782,442.3120892408,443.1056755892,13107050,0.0,1.0
